<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.06	09:00:00	1763.38	1769.82	1763.15	1769.21	6875	0	0
2022.07.06	10:00:00	1769.22	1770.27	1766.58	1767.79	6020	0	0
2022.07.06	11:00:00	1767.79	1771.82	1765.01	1766.18	5090	0	0
2022.07.06	12:00:00	1766.26	1767.65	1763.98	1763.99	4851	0	0
2022.07.06	13:00:00	1763.99	1764.26	1760.07	1761.28	4523	0	0
2022.07.06	14:00:00	1761.21	1763.42	1760.41	1763.19	4928	0	0
2022.07.06	15:00:00	1763.19	1767.94	1759.45	1765.33	8628	0	0
2022.07.06	16:00:00	1765.28	1767.91	1755.41	1760.45	10616	0	0
2022.07.06	17:00:00	1760.45	1760.67	1743.63	1743.70	12333	0	0
2022.07.06	18:00:00	1743.82	1744.44	1732.72	1733.67	8722	0	0
2022.07.06	19:00:00	1733.69	1736.77	1732.23	1735.13	5827	0	0
2022.07.06	20:00:00	1735.09	1739.17	1734.90	1736.37	4210	0	0
2022.07.06	21:00:00	1736.39	1739.95	1733.52	1738.92	7624	0	0
2022.07.06	22:00:00	1738.92	1743.90	1737.97	1739.41	4293	0	0
2022.07.06	23:00:00	1739.43	1740.54	1738.17	1739.11	1614	0	0
2022.07.07	01:00:00	1740.07	1740.80	1739.00	1739.16	1114	0	11
2022.07.07	02:00:00	1739.14	1740.73	1738.44	1740.00	1710	0	7
2022.07.07	03:00:00	1740.00	1742.53	1738.62	1741.93	3115	0	9
2022.07.07	04:00:00	1741.92	1742.30	1736.48	1737.38	5265	0	0
2022.07.07	05:00:00	1737.38	1744.53	1737.34	1744.02	4338	0	0
2022.07.07	06:00:00	1744.01	1746.94	1743.35	1745.81	4041	0	0
2022.07.07	07:00:00	1745.81	1746.99	1743.97	1744.38	2125	0	7
2022.07.07	08:00:00	1744.39	1747.67	1744.03	1746.32	3973	0	5
2022.07.07	09:00:00	1746.19	1746.57	1743.40	1743.44	4637	0	0
2022.07.07	10:00:00	1743.50	1745.44	1741.18	1744.64	4799	0	0
2022.07.07	11:00:00	1744.64	1744.64	1740.06	1742.09	4507	0	0
2022.07.07	12:00:00	1742.11	1745.26	1741.31	1743.34	5314	0	0
2022.07.07	13:00:00	1743.34	1744.53	1740.85	1742.68	4103	0	0
2022.07.07	14:00:00	1742.63	1745.16	1742.35	1743.73	4121	0	0
2022.07.07	15:00:00	1743.73	1745.93	1738.36	1739.57	7304	0	0
2022.07.07	16:00:00	1739.57	1748.77	1737.98	1747.04	9891	0	0
2022.07.07	17:00:00	1747.04	1749.10	1741.13	1741.79	8164	0	0
2022.07.07	18:00:00	1741.79	1742.98	1739.48	1739.79	5860	0	0
2022.07.07	19:00:00	1739.81	1742.99	1739.61	1742.64	3740	0	0
2022.07.07	20:00:00	1742.63	1742.97	1739.11	1740.39	3962	0	0
2022.07.07	21:00:00	1740.43	1741.12	1739.39	1739.83	2479	0	0
2022.07.07	22:00:00	1739.82	1741.12	1738.73	1740.65	2796	0	1
2022.07.07	23:00:00	1740.78	1741.03	1739.88	1740.02	1027	0	2
2022.07.08	01:00:00	1740.70	1741.11	1739.31	1739.81	1043	0	11
2022.07.08	02:00:00	1739.82	1741.84	1738.93	1741.71	1256	0	2
2022.07.08	03:00:00	1741.82	1744.89	1740.87	1744.69	2781	0	7
2022.07.08	04:00:00	1744.69	1746.60	1742.42	1743.39	4050	0	1
2022.07.08	05:00:00	1743.38	1743.78	1742.22	1742.81	4143	0	4
2022.07.08	06:00:00	1742.78	1743.48	1740.64	1742.43	4857	0	2
2022.07.08	07:00:00	1742.40	1742.47	1739.54	1741.90	3029	0	4
2022.07.08	08:00:00	1741.91	1743.47	1740.13	1743.07	3312	0	0
2022.07.08	09:00:00	1743.05	1743.95	1741.74	1742.83	2894	0	0
2022.07.08	10:00:00	1742.83	1742.94	1733.21	1736.48	4614	0	0
2022.07.08	11:00:00	1736.51	1743.33	1734.91	1737.86	4866	0	0
2022.07.08	12:00:00	1737.89	1738.86	1734.85	1738.45	3195	0	0
2022.07.08	13:00:00	1738.50	1743.08	1736.14	1741.01	2968	0	0
2022.07.08	14:00:00	1741.17	1742.10	1739.19	1740.95	2874	0	0
2022.07.08	15:00:00	1740.95	1745.62	1732.91	1738.60	10315	0	0
2022.07.08	16:00:00	1738.60	1743.68	1736.43	1736.89	10207	0	0
